,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
2311,4,1,4,4,4,1,2,4,1,4,1,1,3
2312,4,1,4,4,2,1,1,1,2,1,4,1,2
2313,4,1,4,4,1,4,3,4,1,4,1,4,4
2314,4,1,4,4,1,4,1,1,1,3,1,4,3
2315,4,1,4,4,1,4,3,4,1,3,1,4,4
2316,4,1,4,4,1,4,1,1,1,3,1,4,3
2317,4,1,4,4,1,4,4,4,1,4,1,4,4
2318,4,1,4,4,1,4,1,1,4,1,1,4,2
2319,4,1,4,4,1,4,3,4,1,4,1,4,4
2320,4,1,4,4,1,4,1,1,4,1,1,4,2
2321,1,4,4,4,1,4,2,4,1,4,1,1,4
2322,1,4,4,4,1,4,1,1,2,1,4,1,2
2323,1,4,4,4,1,4,3,4,1,4,1,4,4
2324,1,4,4,4,1,4,1,1,1,3,1,4,3
2325,1,4,4,4,1,2,3,4,1,3,1,4,4
2326,1,4,4,4,1,2,1,1,1,3,1,4,3
2327,1,4,4,4,3,1,4,4,1,4,1,4,4
2328,1,4,4,4,3,1,1,1,4,1,1,4,3
